year,vintage,type,dwellings
1971,1970-1970,single_attached,6329.0
1971,1971-1975,single_attached,2636.0
1971,1961-1970,single_attached,48689.0
1971,1971-1980,single_attached,2636.0
1971,1981-1990,single_attached,0.0
1971,1991-1995,single_attached,0.0
1971,1996-2000,single_attached,0.0
1971,2001-2005,single_attached,0.0
1971,2006-2010,single_attached,0.0
1971,2011-2015,single_attached,0.0
1971,2016-2020,single_attached,0.0
1971,2021-2025,single_attached,0.0
1986,total,single_attached,
1986,<1945,single_attached,0.0
1986,<1920,single_attached,
1986,1921-1945,single_attached,
1986,1946-1970,single_attached,0.0
1986,1946-1960,single_attached,
1986,1961-1970,single_attached,
1986,1971-1985,single_attached,0.0
1986,1971-1975,single_attached,
1986,1976-1980,single_attached,
1986,1981-1985,single_attached,
1986,1986 +,single_attached,0.0
1986,1986-1990,single_attached,0.0
1986,1986(1),single_attached,
1986,1971-1980,single_attached,0.0
1986,1981-1990,single_attached,0.0
1986,1991-1995,single_attached,0.0
1986,1996-2000,single_attached,0.0
1986,2001-2005,single_attached,0.0
1986,2006-2010,single_attached,0.0
1986,2011-2015,single_attached,0.0
1986,2016-2020,single_attached,0.0
1986,2021-2025,single_attached,0.0
1981,total,single_attached,228545.0
1981,<1945,single_attached,
1981,<1920,single_attached,
1981,1921-1945,single_attached,
1981,1946-1970,single_attached,0.0
1981,1946-1960,single_attached,
1981,1961-1970,single_attached,
1981,1971-1980,single_attached,
1981,1971-1975,single_attached,
1981,1976-1980,single_attached,
1981,1981-1985,single_attached,
1981,1981-1990,single_attached,0.0
1981,1991-1995,single_attached,0.0
1981,1996-2000,single_attached,0.0
1981,2001-2005,single_attached,0.0
1981,2006-2010,single_attached,0.0
1981,2011-2015,single_attached,0.0
1981,2016-2020,single_attached,0.0
1981,2021-2025,single_attached,0.0
2001,total,single_attached,245785.0
2001,<1945,single_attached,
2001,<1920,single_attached,
2001,1921-1945,single_attached,
2001,1946-1970,single_attached,0.0
2001,1946-1960,single_attached,
2001,1961-1970,single_attached,
2001,1971-1985,single_attached,0.0
2001,1971-1980,single_attached,
2001,1981-1985,single_attached,
2001,1986 +,single_attached,0.0
2001,1986-1990,single_attached,
2001,1991-1995,single_attached,
2001,1996-2000,single_attached,
2001,2001-2005,single_attached,
2001,1981-1990,single_attached,0.0
2001,2006-2010,single_attached,0.0
2001,2011-2015,single_attached,0.0
2001,2016-2020,single_attached,0.0
2001,2021-2025,single_attached,0.0
1991,total,apartments,1236945.0
1991,<1945,apartments,
1991,<1920,apartments,
1991,1921-1945,apartments,
1991,1946-1970,apartments,
1991,1946-1960,apartments,
1991,1961-1970,apartments,
